"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Ownership Type","Certification Date","Total Number of Beds"
"012006","INFIRMARY LTAC HOSPITAL","5 MOBILE INFIRMARY CIRCLE","","MOBILE","AL","36607","Mobile","(251) 660-5611","4","Non-profit","10/01/1993",22
"012007","NOLAND HOSPITAL MONTGOMERY II, LLC","1725 PINE STREET 5TH FLOOR NORTH WING","","MONTGOMERY","AL","36106","Montgomery","(334) 240-0532","4","Government","02/25/1999",60
"012008","SELECT SPECIALTY HOSPITAL - BIRMINGHAM","2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR","","BIRMINGHAM","AL","35209","Jefferson","(205) 599-4595","4","For profit","09/01/2001",38
"012009","NOLAND HOSPITAL BIRMINGHAM II, LLC","50 MEDICAL PARK EAST DRIVE 8TH FLOOR","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-5100","4","Government","03/27/2003",45
"012010","NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR","","DOTHAN","AL","36302","Houston","(334) 699-4300","4","Non-profit","10/01/2004",35
"012011","NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR","","ANNISTON","AL","36202","Calhoun","(256) 741-6141","4","Non-profit","07/21/2004",38
"012012","NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BOULEVARD EAST, 4TH FLOOR","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7241","4","Non-profit","04/01/2005",32
"012013","NOLAND HOSPITAL SHELBY II, LLC","1000 FIRST STREET, 3RD FLOOR","","ALABASTER","AL","35007","Shelby","(205) 620-8641","4","Non-profit","03/01/2011",52
"012014","NORTH ALABAMA SPECIALTY HOSPITAL","700 WEST MARKET STREET, 2ND FLOOR","","ATHENS","AL","35611","Limestone","(337) 269-9566","4","For profit","05/01/2016",31
"022001","ST ELIAS SPECIALTY HOSPITAL","4800 CORDOVA STREET","","ANCHORAGE","AK","99503","Anchorage","(907) 561-3333","10","Non-profit","01/01/2008",59
"032001","SELECT SPECIALTY HOSPITAL PHOENIX","350 WEST THOMAS ROAD, 3RD FLOOR","","PHOENIX","AZ","85013","Maricopa","(602) 406-6810","9","For profit","06/08/1993",48
"032002","CURAHEALTH TUCSON","355 NORTH WILMOT ROAD","","TUCSON","AZ","85711","Pima","(520) 584-4500","9","For profit","11/01/1994",51
"032004","CORNERSTONE SPECIALTY HOSPITALS TUCSON","7220 EAST ROSEWOOD STREET","","TUCSON","AZ","85710","Pima","(469) 621-6700","9","For profit","07/01/1998",34
"032005","SELECT SPECIALTY HOSPITAL ARIZONA","1012 EAST WILETTA, 4TH FLOOR","","PHOENIX","AZ","85006","Maricopa","(717) 972-1100","9","For profit","06/01/2000",62
"032006","PROMISE HOSPITAL OF PHOENIX, INC.","433 EAST 6TH STREET","","MESA","AZ","85203","Maricopa","(480) 427-3001","9","For profit","06/01/2005",48
"042004","CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS","300 WERNER STREET, 3RD FLOOR","","HOT SPRINGS","AR","71913","Garland","(501) 609-4300","6","For profit","10/01/1999",27
"042006","SELECT SPECIALITY HOSPITAL-FORT SMITH INC","1001 TOWSON AVENUE","","FORT SMITH","AR","72901","Sebastian","(479) 441-3960","6","For profit","09/01/2001",34
"042008","CHRISTUS DUBUIS HOSPITAL OF FORT SMITH","7301 ROGERS AVENUE, # 4","","FORT SMITH","AR","72903","Sebastian","(479) 314-4900","6","For profit","05/29/2003",25
"042009","REGENCY HOSPITAL OF NORTHWEST ARKANSAS","609 WEST MAPLE AVENUE","","SPRINGDALE","AR","72764","Washington","(479) 713-7000","6","For profit","11/25/2003",25
"042010","CORNERSTONE HOSPITAL LITTLE ROCK","2 ST VINCENT CIRCLE, 6TH FLOOR","","LITTLE ROCK","AR","72205","Pulaski","(501) 265-0622","6","For profit","06/01/2007",40
"042011","ADVANCED CARE HOSPITAL WHITE COUNTY","1200 SOUTH MAIN STREET","","SEARCY","AR","72143","White","(501) 278-3155","6","Non-profit","04/01/2008",27
"042012","BAPTIST HEALTH EXTENDED CARE HOSPITAL-LR INC","9601 BAPTIST HEALTH DRIVE, 1OTH FLOOR","","LITTLE ROCK","AR","72205","Pulaski","(501) 202-1070","6","Non-profit","10/01/2008",55
"042013","ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO","3024 RED WOLF BOULEVARD, SUITE 1","","JONESBORO","AR","72401","Craighead","(870) 819-4040","6","For profit","12/20/2017",44
"052031","BARLOW RESPIRATORY HOSPITAL","2000 STADIUM WAY","","LOS ANGELES","CA","90026","Los Angeles","(213) 250-4200","9","Non-profit","09/01/1984",99
"052032","KINDRED HOSPITAL - LOS ANGELES","5525  W SLAUSON AVENUE","","LOS ANGELES","CA","90056","Los Angeles","(310) 642-0325","9","For profit","01/29/1992",81
"052033","VIBRA HOSPITAL OF SACRAMENTO","330 MONTROSE DRIVE","","FOLSOM","CA","95630","Sacramento","(916) 351-9151","9","For profit","03/04/1992",58
"052034","KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","2800 BENEDICT DRIVE","","SAN LEANDRO","CA","94577","Alameda","(510) 357-8300","9","For profit","01/29/1993",99
