"","h_country","h_rank","h_score","gdp_capita","life_exp","freedom","h_year","country"
"1","Switzerland",1,7.587,1.39651,0.94143,0.66557,2015,"Switzerland"
"2","Iceland",2,7.561,1.30232,0.94784,0.62877,2015,"Iceland"
"3","Denmark",3,7.527,1.32548,0.87464,0.64938,2015,"Denmark"
"4","Norway",4,7.522,1.459,0.88521,0.66973,2015,"Norway"
"5","Canada",5,7.427,1.32629,0.90563,0.63297,2015,"Canada"
"6","Finland",6,7.406,1.29025,0.88911,0.64169,2015,"Finland"
"7","Netherlands",7,7.378,1.32944,0.89284,0.61576,2015,"Netherlands"
"8","Sweden",8,7.364,1.33171,0.91087,0.6598,2015,"Sweden"
"9","New Zealand",9,7.286,1.25018,0.90837,0.63938,2015,"New Zealand"
"10","Australia",10,7.284,1.33358,0.93156,0.65124,2015,"Australia"
"11","Israel",11,7.278,1.22857,0.91387,0.41319,2015,"Israel"
"12","Costa Rica",12,7.226,0.95578,0.86027,0.63376,2015,"Costa Rica"
"13","Austria",13,7.2,1.33723,0.89042,0.62433,2015,"Austria"
"14","Mexico",14,7.187,1.02054,0.81444,0.48181,2015,"Mexico"
"15","United States",15,7.119,1.39451,0.86179,0.54604,2015,"United States"
"16","Brazil",16,6.983,0.98124,0.69702,0.49049,2015,"Brazil"
"17","Luxembourg",17,6.946,1.56391,0.91894,0.61583,2015,"Luxembourg"
"18","Ireland",18,6.94,1.33596,0.89533,0.61777,2015,"Ireland"
"19","Belgium",19,6.937,1.30782,0.89667,0.5845,2015,"Belgium"
"20","United Arab Emirates",20,6.901,1.42727,0.80925,0.64157,2015,"United Arab Emirates"
"21","United Kingdom",21,6.867,1.26637,0.90943,0.59625,2015,"United Kingdom"
"22","Oman",22,6.853,1.36011,0.76276,0.63274,2015,"Oman"
"23","Venezuela",23,6.81,1.04424,0.72052,0.42908,2015,"Venezuela"
"24","Singapore",24,6.798,1.52186,1.02525,0.54252,2015,"Singapore"
"25","Panama",25,6.786,1.06353,0.79661,0.5421,2015,"Panama"
